,Наименование остановочного пункта,Широта,Долгота
102,27y km Minskogo shosse,55.65117899,37.267036
103,27y km Minskogo shosse,55.65107199,37.264895
647,Akulovo,55.66149799,37.234947999999996
648,Akulovo,55.66156699,37.234113
651,Akulovskaja cerkov,55.66356899,37.242670000000004
4576,Dom otdyha Ozera,55.65881699,37.248329
4577,Dom otdyha Ozera,55.65842699,37.248181
9676,Mjasnickiy rjad,55.66383199,37.266194
9677,Mjasnickiy rjad,55.66398199,37.266476000000004
10558,Odincovo1,55.65495599,37.272806
10559,Odincovo1 po trebovaniu,55.65280999,37.274445
13614,Polevaja ulica,55.66178599,37.252727
13729,Poliklinika VZOI,55.66413499,37.286004
13730,Poliklinika VZOI,55.66400099,37.285698
14906,Rynok,55.63756299,37.222024
16379,Sosnovaja ulica 30,55.66389799,37.294518
16380,Sosnovaja ulica 32,55.66298999,37.293
16381,Sosnovaja ulica 32,55.66326699,37.293286
16382,Sosnovaja ulica 34,55.66274099,37.29177
17083,Stolovaja,55.65276699,37.260090000000005
17084,Stolovaja,55.65369599,37.258686
17460,Terminal,55.66323099,37.244983000000005
17461,Terminal,55.66275099,37.245211
